date_posted,job_title,url,company,employment_type,location,salary,currency,valid_through,jenis_kelamin
2022-10-02T09:59:28+07:00,Beautician/ Terapis,https://www.jobs.id/lowongan/MjY3OTk2/beautician-terapis-jakarta-derma-clinic?qt_ref=search&qt_page=33&qt_pos=5,Jakarta Derma Clinic,FULL_TIME,Jakarta Barat,Negotiable,IDR,2022-10-09,Pria/Wanita
2022-10-02T19:02:16+07:00,Operator Production Assembly,https://www.jobs.id/lowongan/MzI0NjY4/operator-production-assembly-bina-talenta-pt?qt_ref=search&qt_page=33&qt_pos=6,Bina Talenta PT,FULL_TIME,Bogor,4200000-4400000,IDR,2022-10-23,Pria/Wanita
2022-10-02T12:19:32+07:00,Sales Karton/ Kertas,https://www.jobs.id/lowongan/MzI0NjU3/sales-karton-kertas-pabrik-kertas-indonesia-pt?qt_ref=search&qt_page=33&qt_pos=7,Pabrik Kertas Indonesia PT,FULL_TIME,Sidoarjo,Negotiable,IDR,2022-10-23,Pria/Wanita
2022-10-02T09:59:38+07:00,SPG,https://www.jobs.id/lowongan/MzE3NTQ5/spg?qt_ref=search&qt_page=33&qt_pos=8,Company Confidential,FULL_TIME,Gresik,4000000-8000000,IDR,2022-10-16,Pria/Wanita
2022-10-02T12:20:05+07:00,Sales Executive,https://www.jobs.id/lowongan/MzIzNDEw/sales-executive-biogen-scientific-pt?qt_ref=search&qt_page=33&qt_pos=10,Biogen Scientific PT,FULL_TIME,Pekanbaru,Negotiable,IDR,2022-10-05,Pria/Wanita
2022-10-02T19:39:35+07:00,Staff / Supervisor General Affair &amp; Personalia (SGP-33),https://www.jobs.id/lowongan/MzIzNjgz/staff-supervisor-general-affair-personalia-sgp-33-champ-resto-indonesia-pt?qt_ref=search&qt_page=33&qt_pos=11,Champ Resto Indonesia PT,FULL_TIME,Bandung,Negotiable,IDR,2022-10-13,Pria/Wanita
2022-10-02T12:56:25+07:00,Kindergarten Teacher,https://www.jobs.id/lowongan/MzE2MTA3/kindergarten-teacher-yayasan-citra-berkat?qt_ref=search&qt_page=33&qt_pos=12,Yayasan Citra Berkat,FULL_TIME,Samarinda,Negotiable,IDR,2022-10-15,Pria/Wanita
2022-10-02T10:01:56+07:00,Sales Executive,https://www.jobs.id/lowongan/MzA5NDQ0/sales-executive-adhiusaha-kencana-lestari-pt?qt_ref=search&qt_page=33&qt_pos=13,Adhiusaha Kencana Lestari PT,FULL_TIME,Malang,2000000-2500000,IDR,2022-10-14,Pria/Wanita
2022-10-02T15:32:58+07:00,Marketing Communication,https://www.jobs.id/lowongan/MzIwMDA4/marketing-communication-tiga-rasa-indonesia-pt?qt_ref=search&qt_page=33&qt_pos=14,Tiga Rasa Indonesia PT,FULL_TIME,Surabaya,Negotiable,IDR,2022-10-13,Pria/ Wanita
2022-10-02T10:02:03+07:00,Credit Marketing Officer (CMO) - Semarang,https://www.jobs.id/lowongan/MzIzNDEx/credit-marketing-officer-cmo-semarang-transpacific-finance-pt?qt_ref=search&qt_page=33&qt_pos=15,Transpacific Finance PT,FULL_TIME,Semarang,Negotiable,IDR,2022-10-05,Pria/Wanita
